Dataset,Metric,Score
2012,Objective Fitness,84.69152314692113
2012,Objective Fitness,89.07816926258704
2012,Objective Fitness,80.39469382972635
2012,Objective Fitness,83.1621780563715
2012,Objective Fitness,84.11352190117573
2013-cp,Objective Fitness,92.15018300544516
2013-cp,Objective Fitness,95.60048665007184
2013-cp,Objective Fitness,93.37290841514796
2013-cp,Objective Fitness,94.48965594989208
2013-cp,Objective Fitness,93.37290841514796
2013-i,Objective Fitness,95.00462458697952
2013-i,Objective Fitness,95.00462458697952
2013-i,Objective Fitness,94.9392423377995
2013-i,Objective Fitness,95.00462458697952
2013-i,Objective Fitness,95.00462458697952
2013-op,Objective Fitness,94.74941037944744
2013-op,Objective Fitness,94.74941037944744
2013-op,Objective Fitness,96.27905444135592
2013-op,Objective Fitness,95.39629964735256
2013-op,Objective Fitness,94.74941037944744
2017,Objective Fitness,90.62322526171737
2017,Objective Fitness,79.33650113863597
2017,Objective Fitness,87.55847330113835
2017,Objective Fitness,80.32824980192834
2017,Objective Fitness,87.71143987668295
2019,Objective Fitness,71.36721503682583
2019,Objective Fitness,72.45939183515642
2019,Objective Fitness,72.30211627488384
2019,Objective Fitness,77.66582600503418
2019,Objective Fitness,76.63451961634644
2020-dd,Objective Fitness,92.15933249638832
2020-dd,Objective Fitness,91.39608309451472
2020-dd,Objective Fitness,93.70915143976046
2020-dd,Objective Fitness,92.6195190758948
2020-dd,Objective Fitness,91.49720469633132
2020-id,Objective Fitness,80.75431274819599
2020-id,Objective Fitness,80.86855126941839
2020-id,Objective Fitness,87.57723679025892
2020-id,Objective Fitness,85.57157685016719
2020-id,Objective Fitness,88.03837417103547
2020-pl,Objective Fitness,71.03390111559247
2020-pl,Objective Fitness,69.66250358347354
2020-pl,Objective Fitness,80.01520904015729
2020-pl,Objective Fitness,83.78455554302838
2020-pl,Objective Fitness,83.82682490945383
2020-ptc,Objective Fitness,92.52572607466934
2020-ptc,Objective Fitness,92.36206676336712
2020-ptc,Objective Fitness,92.18414429080347
2020-ptc,Objective Fitness,92.1961385958946
2020-ptc,Objective Fitness,92.16003389615598
2020-rfp,Objective Fitness,93.56674604797156
2020-rfp,Objective Fitness,93.61140126449278
2020-rfp,Objective Fitness,93.53875126713066
2020-rfp,Objective Fitness,93.51274017172358
2020-rfp,Objective Fitness,93.3859906439776
RTF,Objective Fitness,94.00118470046408
RTF,Objective Fitness,94.1598245474664
RTF,Objective Fitness,91.09663545260378
RTF,Objective Fitness,88.97614790651161
RTF,Objective Fitness,94.33503191126808
Sepsis,Objective Fitness,94.15083380001244
Sepsis,Objective Fitness,94.80234779408708
Sepsis,Objective Fitness,94.354479441238
Sepsis,Objective Fitness,94.42311187820684
Sepsis,Objective Fitness,93.86222260970632
